Application_ID,Age,Gender,State,Residence_Type,Monthly_Income,Employment_Status,Education_Level,Family_Members,Disability_Status,Application_Date,Eligibility_Score,Application_Status,Subsidy_Amount,level,state_ut,schemeCategory,benefit_type,benefit_amount_per_year,min_age,max_age,income_limit,social_category,gender_target,course_level,application_mode,scheme_name,details,documents_required,tags
GOV-10010,45,Male,Illinois,Rural,1730.21,Unemployed,,1,Yes,23-07-25,7,Under Review,2500,Central,All India,Education & Learning,Stipend,33000,7,55,800000,ST,Male,Vocational,Online,Gov Assistance Scheme - 115,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10011,52,Male,New York,Urban,871.71,Student,Secondary,6,Yes,18-06-25,55,Rejected,0,Central,All India,Housing,Scholarship,22000,16,30,300000,SC,Any,PG,Online+Offline,Gov Assistance Scheme - 517,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10012,83,Non-Binary,California,Urban,791.2,Private Sector,,4,No,04-10-25,96,Rejected,500,Central,All India,Agriculture,Grant,86000,12,45,500000,EWS,Male,School,Offline,Gov Assistance Scheme - 824,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10013,36,Female,Texas,Urban,2775.07,Self-Employed,Primary,8,Yes,11-08-25,35,Under Review,500,State,Texas,Housing,Grant,79000,11,55,800000,ST,Any,Higher Secondary,Online+Offline,Gov Assistance Scheme - 830,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10014,79,Male,Texas,Rural,2655.2,Private Sector,Primary,5,Yes,22-08-25,53,Approved,0,Central,All India,Education & Learning,Grant,34000,4,43,300000,SC,Any,Vocational,Offline,Gov Assistance Scheme - 219,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10015,45,Non-Binary,California,Rural,2629.79,Student,Tertiary,2,Yes,05-05-25,45,Approved,1200,State,California,Healthcare,Direct Benefit Transfer,7000,17,33,500000,SC,Male,Vocational,Online,Gov Assistance Scheme - 468,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10016,63,Non-Binary,Illinois,Urban,1126.76,Private Sector,,8,Yes,17-04-25,14,Rejected,500,State,Illinois,Social Welfare,Stipend,44000,13,35,800000,General,Male,PG,Online+Offline,Gov Assistance Scheme - 664,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10017,37,Male,Illinois,Rural,1759.17,Self-Employed,Primary,6,No,13-09-25,96,Rejected,2500,Central,All India,Housing,Stipend,14000,13,80,300000,ST,Any,Vocational,Offline,Gov Assistance Scheme - 270,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10018,62,Non-Binary,Florida,Rural,4860.61,Student,,5,No,23-02-25,98,Rejected,2500,State,Florida,Agriculture,Subsidy,39000,18,74,200000,General,Non-Binary,UG,Online,Gov Assistance Scheme - 283,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10019,25,Male,Texas,Urban,1310.78,Private Sector,Secondary,7,Yes,14-11-25,14,Under Review,2500,Central,All India,Agriculture,Direct Benefit Transfer,7000,23,32,800000,General,Male,Vocational,Offline,Gov Assistance Scheme - 349,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10020,52,Male,New York,Urban,3751.45,Private Sector,,3,No,10-02-25,27,Pending,0,State,New York,Skill Development,Subsidy,10000,24,58,800000,EWS,Non-Binary,Vocational,Offline,Gov Assistance Scheme - 807,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10021,21,Non-Binary,Illinois,Rural,911.15,Private Sector,Secondary,3,Yes,06-11-25,74,Rejected,0,Central,All India,Healthcare,Direct Benefit Transfer,28000,19,71,800000,SC,Male,School,Online,Gov Assistance Scheme - 232,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10022,84,Female,California,Rural,3469.69,Public Sector,Secondary,7,No,30-12-25,34,Approved,2500,State,California,Education & Learning,Direct Benefit Transfer,41000,22,32,300000,Any,Any,Vocational,Online,Gov Assistance Scheme - 686,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10023,20,Non-Binary,Illinois,Urban,331,Self-Employed,Secondary,1,No,28-06-25,91,Rejected,0,Central,All India,Agriculture,Stipend,20000,23,53,500000,OBC,Non-Binary,Vocational,Offline,Gov Assistance Scheme - 792,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10024,83,Non-Binary,Florida,Urban,2719.59,Unemployed,Primary,7,No,01-05-25,13,Pending,1200,Central,All India,Social Welfare,Direct Benefit Transfer,23000,25,61,200000,ST,Male,Diploma,Online+Offline,Gov Assistance Scheme - 352,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10025,47,Non-Binary,California,Urban,2654.71,Unemployed,Primary,2,Yes,02-09-25,67,Pending,500,State,California,Social Welfare,Scholarship,97000,9,46,500000,SC,Female,Vocational,Online,Gov Assistance Scheme - 220,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10026,32,Non-Binary,New York,Rural,4137.31,Private Sector,Tertiary,2,No,11-07-25,28,Under Review,1200,State,New York,Skill Development,Grant,70000,5,52,200000,General,Male,Vocational,Online,Gov Assistance Scheme - 501,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10027,49,Non-Binary,New York,Rural,2096.38,Self-Employed,,7,No,06-11-25,5,Under Review,0,State,New York,Social Welfare,Direct Benefit Transfer,40000,8,72,500000,ST,Male,PhD,Online+Offline,Gov Assistance Scheme - 154,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10028,81,Male,Illinois,Rural,313.98,Public Sector,Tertiary,1,No,14-10-25,94,Approved,1200,Central,All India,Skill Development,Grant,53000,18,50,800000,ST,Non-Binary,Higher Secondary,Online+Offline,Gov Assistance Scheme - 977,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10029,44,Male,Illinois,Rural,4428.67,Public Sector,,3,Yes,01-05-25,93,Rejected,500,State,Illinois,Agriculture,Direct Benefit Transfer,28000,12,61,300000,ST,Male,Diploma,Online,Gov Assistance Scheme - 348,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10030,47,Male,Florida,Rural,4268.06,Student,Tertiary,1,Yes,18-04-25,83,Approved,1200,Central,All India,Healthcare,Grant,57000,5,38,300000,SC,Non-Binary,PhD,Online,Gov Assistance Scheme - 973,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10031,27,Female,New York,Rural,385.39,Unemployed,Secondary,4,Yes,16-10-25,8,Pending,0,Central,All India,Social Welfare,Scholarship,32000,0,48,300000,EWS,Any,Diploma,Online,Gov Assistance Scheme - 621,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10032,52,Male,California,Urban,2901.68,Private Sector,Secondary,2,No,26-04-25,89,Rejected,0,State,California,Healthcare,Stipend,37000,24,55,300000,EWS,Male,PG,Online,Gov Assistance Scheme - 989,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10033,32,Male,New York,Urban,2012.5,Unemployed,,6,No,11-08-25,23,Pending,2500,Central,All India,Skill Development,Direct Benefit Transfer,11000,19,52,200000,General,Any,Higher Secondary,Online+Offline,Gov Assistance Scheme - 959,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10034,51,Non-Binary,Florida,Rural,3545.65,Student,Secondary,7,No,07-11-25,23,Under Review,0,State,Florida,Skill Development,Stipend,35000,24,64,300000,SC,Any,UG,Online,Gov Assistance Scheme - 503,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10035,68,Male,New York,Urban,4864.24,Public Sector,Secondary,6,No,30-11-25,12,Approved,0,State,New York,Housing,Grant,18000,0,41,500000,General,Female,UG,Online,Gov Assistance Scheme - 121,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10036,49,Male,Texas,Rural,4946.28,Student,Tertiary,7,Yes,22-06-25,8,Rejected,500,Central,All India,Healthcare,Grant,86000,8,39,300000,SC,Male,Higher Secondary,Online,Gov Assistance Scheme - 928,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10037,49,Male,Florida,Urban,1828.91,Self-Employed,Secondary,4,No,05-11-25,73,Approved,0,State,Florida,Agriculture,Stipend,98000,6,74,500000,EWS,Any,PhD,Offline,Gov Assistance Scheme - 498,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10038,55,Female,Florida,Urban,3504.98,Private Sector,,1,Yes,18-06-25,72,Under Review,0,State,Florida,Social Welfare,Grant,8000,8,59,200000,EWS,Male,Diploma,Online+Offline,Gov Assistance Scheme - 400,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10039,69,Non-Binary,Texas,Urban,2067.04,Unemployed,Primary,5,Yes,04-07-25,67,Rejected,2500,Central,All India,Skill Development,Stipend,9000,14,75,200000,EWS,Male,PhD,Online,Gov Assistance Scheme - 500,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10040,56,Female,New York,Rural,456.89,Private Sector,Secondary,8,Yes,20-12-25,10,Pending,500,State,New York,Education & Learning,Scholarship,59000,4,39,800000,General,Male,PhD,Online+Offline,Gov Assistance Scheme - 702,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10041,22,Female,New York,Rural,4555.63,Public Sector,Primary,6,No,22-06-25,50,Approved,2500,Central,All India,Agriculture,Direct Benefit Transfer,42000,22,73,200000,SC,Male,Higher Secondary,Online,Gov Assistance Scheme - 680,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10042,45,Non-Binary,Illinois,Rural,1380.05,Unemployed,Primary,4,Yes,02-11-25,35,Rejected,1200,State,Illinois,Skill Development,Grant,14000,20,65,500000,SC,Non-Binary,Vocational,Online,Gov Assistance Scheme - 226,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10043,66,Non-Binary,Illinois,Urban,2321.27,Private Sector,Tertiary,4,Yes,06-04-25,78,Pending,0,Central,All India,Social Welfare,Subsidy,42000,24,79,800000,General,Female,PhD,Offline,Gov Assistance Scheme - 909,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10044,34,Male,New York,Rural,3989.88,Public Sector,,4,Yes,17-12-25,29,Under Review,0,State,New York,Housing,Stipend,44000,18,44,500000,Any,Female,School,Online+Offline,Gov Assistance Scheme - 264,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10045,82,Male,Illinois,Rural,1962.07,Self-Employed,Secondary,6,Yes,25-09-25,5,Pending,0,Central,All India,Housing,Grant,40000,22,52,300000,SC,Female,PG,Offline,Gov Assistance Scheme - 423,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10046,80,Female,Illinois,Rural,3357.85,Private Sector,Tertiary,2,No,10-01-25,81,Rejected,0,State,Illinois,Healthcare,Subsidy,72000,23,52,500000,SC,Any,UG,Offline,Gov Assistance Scheme - 182,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10047,79,Male,Illinois,Urban,1877.45,Public Sector,,3,No,14-05-25,90,Under Review,0,State,Illinois,Healthcare,Direct Benefit Transfer,85000,19,39,800000,EWS,Male,Diploma,Online,Gov Assistance Scheme - 406,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10048,54,Male,Illinois,Urban,3167.86,Self-Employed,Secondary,6,Yes,30-04-25,81,Under Review,2500,Central,All India,Housing,Stipend,43000,4,40,300000,SC,Female,PhD,Online,Gov Assistance Scheme - 835,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10049,65,Female,Illinois,Rural,1050.54,Public Sector,Tertiary,4,No,19-10-25,31,Under Review,0,State,Illinois,Healthcare,Scholarship,19000,21,71,300000,General,Any,School,Online+Offline,Gov Assistance Scheme - 175,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10050,64,Non-Binary,New York,Urban,1628.1,Self-Employed,,4,Yes,01-01-25,94,Rejected,500,State,New York,Social Welfare,Stipend,50000,4,74,200000,SC,Male,UG,Online+Offline,Gov Assistance Scheme - 428,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10051,61,Male,Illinois,Rural,3465.89,Private Sector,Secondary,8,Yes,27-01-25,100,Under Review,0,State,Illinois,Education & Learning,Subsidy,32000,12,30,500000,ST,Any,Higher Secondary,Offline,Gov Assistance Scheme - 861,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10052,44,Non-Binary,Texas,Urban,365.47,Self-Employed,Primary,1,Yes,13-07-25,43,Under Review,0,State,Texas,Healthcare,Scholarship,92000,5,46,800000,Any,Any,UG,Offline,Gov Assistance Scheme - 828,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10053,19,Non-Binary,Texas,Rural,2192.7,Private Sector,Secondary,4,Yes,17-10-25,13,Pending,500,Central,All India,Housing,Grant,28000,14,65,300000,General,Non-Binary,School,Offline,Gov Assistance Scheme - 881,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10054,19,Female,Illinois,Urban,3986.37,Public Sector,Tertiary,5,No,17-04-25,57,Pending,2500,State,Illinois,Healthcare,Direct Benefit Transfer,55000,4,78,500000,Any,Non-Binary,Vocational,Online+Offline,Gov Assistance Scheme - 563,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10055,19,Male,Illinois,Urban,4464.36,Unemployed,,7,Yes,02-04-25,78,Rejected,2500,State,Illinois,Housing,Grant,21000,14,30,800000,ST,Any,School,Online,Gov Assistance Scheme - 211,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10056,47,Non-Binary,Florida,Rural,1212.87,Public Sector,Secondary,6,No,16-11-25,62,Pending,0,Central,All India,Agriculture,Grant,55000,20,62,800000,General,Any,Higher Secondary,Offline,Gov Assistance Scheme - 620,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10057,32,Female,Texas,Urban,2812.02,Public Sector,Tertiary,3,Yes,26-01-25,17,Pending,1200,State,Texas,Education & Learning,Scholarship,23000,0,31,200000,EWS,Female,PhD,Offline,Gov Assistance Scheme - 377,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10058,40,Female,Florida,Urban,4494.57,Public Sector,Tertiary,2,Yes,05-08-25,81,Pending,0,Central,All India,Housing,Grant,53000,16,80,500000,General,Non-Binary,Vocational,Offline,Gov Assistance Scheme - 209,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10059,77,Male,California,Urban,286.45,Public Sector,,4,No,11-09-25,40,Approved,1200,Central,All India,Education & Learning,Grant,27000,16,69,200000,SC,Female,UG,Online,Gov Assistance Scheme - 126,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10060,83,Non-Binary,Florida,Rural,3054.03,Unemployed,,1,No,26-06-25,88,Rejected,0,Central,All India,Education & Learning,Subsidy,60000,4,40,300000,ST,Non-Binary,UG,Online,Gov Assistance Scheme - 932,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10061,73,Male,Illinois,Rural,3468.14,Public Sector,Secondary,7,Yes,28-09-25,45,Under Review,0,State,Illinois,Healthcare,Subsidy,69000,24,41,200000,General,Non-Binary,PhD,Online+Offline,Gov Assistance Scheme - 384,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10062,22,Male,New York,Rural,3494.86,Self-Employed,,6,No,22-06-25,0,Pending,500,Central,All India,Skill Development,Grant,86000,13,51,500000,OBC,Any,UG,Online+Offline,Gov Assistance Scheme - 391,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10063,31,Non-Binary,New York,Urban,3429.58,Private Sector,Primary,7,No,27-07-25,98,Rejected,0,Central,All India,Education & Learning,Stipend,83000,1,67,200000,OBC,Male,Higher Secondary,Online+Offline,Gov Assistance Scheme - 663,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10064,50,Male,Illinois,Rural,4399.94,Private Sector,Secondary,3,No,13-09-25,97,Under Review,0,Central,All India,Social Welfare,Direct Benefit Transfer,100000,9,79,200000,EWS,Non-Binary,School,Online+Offline,Gov Assistance Scheme - 382,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10065,36,Non-Binary,New York,Urban,1376.7,Unemployed,Tertiary,2,Yes,05-03-25,58,Under Review,2500,State,New York,Housing,Scholarship,6000,13,43,500000,General,Any,PhD,Online+Offline,Gov Assistance Scheme - 221,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10066,71,Male,California,Urban,711.02,Unemployed,Secondary,5,Yes,22-09-25,92,Approved,0,Central,All India,Social Welfare,Stipend,55000,25,59,800000,ST,Non-Binary,School,Offline,Gov Assistance Scheme - 885,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10067,36,Male,New York,Rural,4409.54,Public Sector,Tertiary,1,Yes,20-02-25,6,Rejected,0,State,New York,Agriculture,Scholarship,64000,15,37,500000,OBC,Any,Diploma,Online+Offline,Gov Assistance Scheme - 102,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10068,38,Female,Florida,Urban,3106.97,Unemployed,Tertiary,7,Yes,23-11-25,48,Pending,0,Central,All India,Skill Development,Grant,55000,11,48,300000,General,Non-Binary,Diploma,Offline,Gov Assistance Scheme - 986,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10069,81,Female,Illinois,Urban,2601.79,Private Sector,Secondary,4,Yes,30-08-25,89,Approved,0,Central,All India,Agriculture,Direct Benefit Transfer,12000,9,46,300000,Any,Non-Binary,School,Offline,Gov Assistance Scheme - 796,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10070,35,Male,New York,Rural,1495.64,Private Sector,Secondary,4,No,25-06-25,40,Under Review,1200,State,New York,Housing,Stipend,29000,15,38,800000,OBC,Female,PG,Online+Offline,Gov Assistance Scheme - 775,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10071,77,Female,Florida,Rural,3092.71,Unemployed,Secondary,1,No,07-02-25,91,Rejected,0,State,Florida,Healthcare,Subsidy,29000,8,33,300000,ST,Female,Higher Secondary,Online,Gov Assistance Scheme - 351,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10072,41,Female,Florida,Urban,1730.42,Unemployed,Primary,5,No,24-11-25,82,Pending,0,State,Florida,Education & Learning,Stipend,100000,8,36,300000,General,Female,School,Online+Offline,Gov Assistance Scheme - 890,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10073,69,Female,Florida,Rural,515.61,Student,Secondary,7,Yes,03-05-25,13,Rejected,0,Central,All India,Healthcare,Scholarship,100000,13,80,200000,General,Non-Binary,School,Offline,Gov Assistance Scheme - 455,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10074,60,Female,Illinois,Urban,2631.95,Self-Employed,Secondary,1,No,08-05-25,28,Pending,0,Central,All India,Education & Learning,Scholarship,84000,12,65,800000,OBC,Female,PG,Offline,Gov Assistance Scheme - 990,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10075,79,Non-Binary,Florida,Urban,1303.64,Private Sector,Secondary,4,No,25-09-25,23,Rejected,0,State,Florida,Skill Development,Scholarship,34000,4,31,800000,EWS,Any,PG,Offline,Gov Assistance Scheme - 123,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10076,60,Non-Binary,Illinois,Urban,783.01,Unemployed,Primary,1,No,10-09-25,5,Pending,0,Central,All India,Healthcare,Direct Benefit Transfer,98000,0,58,500000,OBC,Any,School,Online+Offline,Gov Assistance Scheme - 858,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
