application_id,age,gender,state,residence_type,income,employment_status,education_level,family_members,disability_status,application_date,eligibility_score,application_status,subsidy_amount,level,state_ut,schemecategory,benefit_type,benefit_amount_per_year,min_age,max_age,income_limit,social_category,gender_target,course_level,application_mode,scheme_name,details,documents_required,tags,eligible
GOV-10709,39,Male,Illinois,Urban,3508.64,Public Sector,Tertiary,8,No,23-01-25,18,Under Review,0,State,Illinois,Education & Learning,Stipend,57000,7,69,800000,SC,Any,UG,Offline,Gov Assistance Scheme - 585,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11673,49,Female,Illinois,Rural,1098.78,Self-Employed,Primary,1,Yes,04-11-25,17,Rejected,0,Central,All India,Education & Learning,Stipend,54000,19,67,800000,ST,Non-Binary,Vocational,Online,Gov Assistance Scheme - 428,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10150,61,Non-Binary,Texas,Urban,1650.41,Private Sector,Primary,3,Yes,16-12-25,98,Pending,500,Central,All India,Skill Development,Direct Benefit Transfer,90000,1,41,200000,ST,Any,Higher Secondary,Online+Offline,Gov Assistance Scheme - 949,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11618,79,Female,Illinois,Rural,4753.11,Public Sector,Tertiary,6,No,01-04-25,78,Approved,1200,Central,All India,Skill Development,Subsidy,100000,12,50,300000,EWS,Non-Binary,Diploma,Offline,Gov Assistance Scheme - 879,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10457,27,Non-Binary,Texas,Rural,4920.57,Student,,5,No,11-12-25,32,Rejected,500,State,Texas,Housing,Grant,41000,12,34,300000,General,Female,PG,Offline,Gov Assistance Scheme - 282,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10120,26,Male,New York,Urban,1850.88,Private Sector,Secondary,5,Yes,13-08-25,50,Approved,1200,Central,All India,Housing,Grant,73000,3,63,200000,SC,Any,PhD,Offline,Gov Assistance Scheme - 462,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10185,37,Non-Binary,California,Rural,3893.85,Public Sector,,1,No,04-07-25,59,Under Review,0,Central,All India,Social Welfare,Stipend,17000,15,48,300000,OBC,Any,PG,Offline,Gov Assistance Scheme - 244,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10490,72,Non-Binary,Texas,Rural,4628.17,Unemployed,Primary,1,No,02-05-25,13,Under Review,500,Central,All India,Education & Learning,Subsidy,22000,23,75,800000,SC,Female,PG,Online,Gov Assistance Scheme - 857,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10689,22,Non-Binary,New York,Rural,4082.83,Self-Employed,Secondary,3,Yes,27-05-25,56,Approved,0,State,New York,Agriculture,Grant,43000,15,78,500000,ST,Non-Binary,Vocational,Offline,Gov Assistance Scheme - 715,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11597,29,Non-Binary,California,Rural,2528.47,Public Sector,,4,No,15-09-25,34,Approved,2500,State,California,Skill Development,Direct Benefit Transfer,94000,19,38,300000,ST,Any,PhD,Offline,Gov Assistance Scheme - 181,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10714,49,Non-Binary,Texas,Rural,4862.92,Private Sector,Primary,6,No,10-08-25,35,Under Review,0,Central,All India,Skill Development,Subsidy,41000,13,66,200000,SC,Non-Binary,School,Offline,Gov Assistance Scheme - 884,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11509,68,Male,Illinois,Urban,304.99,Unemployed,,6,No,28-07-25,75,Rejected,0,Central,All India,Housing,Subsidy,25000,13,49,500000,Any,Any,School,Online,Gov Assistance Scheme - 389,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10826,26,Non-Binary,Illinois,Urban,817.06,Private Sector,,2,No,25-01-25,26,Rejected,0,State,Illinois,Skill Development,Stipend,72000,11,79,800000,General,Female,UG,Offline,Gov Assistance Scheme - 385,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10239,45,Female,Florida,Urban,3388.83,Unemployed,,6,Yes,29-12-25,39,Pending,2500,Central,All India,Agriculture,Stipend,54000,4,45,300000,SC,Any,Higher Secondary,Online+Offline,Gov Assistance Scheme - 916,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11350,22,Male,California,Rural,4593.66,Private Sector,,1,Yes,29-06-25,44,Approved,500,State,California,Healthcare,Direct Benefit Transfer,99000,11,65,800000,ST,Any,Higher Secondary,Online,Gov Assistance Scheme - 650,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10754,43,Female,Illinois,Urban,502.52,Private Sector,,3,No,30-12-25,91,Rejected,1200,State,Illinois,Healthcare,Subsidy,43000,20,40,800000,SC,Male,PhD,Offline,Gov Assistance Scheme - 711,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11555,71,Female,Florida,Rural,1435.62,Unemployed,,6,Yes,04-12-25,44,Approved,0,Central,All India,Agriculture,Stipend,80000,14,78,500000,Any,Female,PhD,Online+Offline,Gov Assistance Scheme - 497,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11097,47,Female,New York,Urban,4773.39,Public Sector,,3,Yes,16-02-25,64,Pending,0,State,New York,Education & Learning,Stipend,95000,2,46,500000,OBC,Non-Binary,Diploma,Offline,Gov Assistance Scheme - 270,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11923,18,Male,Texas,Rural,2948.52,Public Sector,Secondary,1,No,25-04-25,58,Approved,500,Central,All India,Agriculture,Scholarship,93000,24,34,300000,ST,Female,UG,Online,Gov Assistance Scheme - 931,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11127,46,Male,California,Rural,4972.61,Student,,1,Yes,08-02-25,78,Approved,1200,State,California,Healthcare,Scholarship,32000,15,45,500000,Any,Male,Higher Secondary,Online,Gov Assistance Scheme - 836,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11625,22,Male,California,Rural,2252.1,Student,Primary,7,Yes,17-07-25,6,Rejected,500,State,California,Housing,Grant,84000,17,30,800000,OBC,Any,School,Offline,Gov Assistance Scheme - 276,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11386,64,Female,California,Rural,3937.27,Self-Employed,,3,Yes,28-04-25,12,Rejected,0,State,California,Housing,Direct Benefit Transfer,36000,7,65,300000,EWS,Non-Binary,PhD,Online+Offline,Gov Assistance Scheme - 286,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11982,39,Male,Illinois,Rural,2739.64,Student,Primary,4,No,31-07-25,78,Pending,0,State,Illinois,Social Welfare,Scholarship,89000,17,42,500000,EWS,Female,Diploma,Online,Gov Assistance Scheme - 522,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10285,35,Non-Binary,Texas,Rural,4022.65,Student,Primary,7,No,29-05-25,3,Pending,0,Central,All India,Agriculture,Scholarship,8000,22,31,500000,General,Male,Higher Secondary,Online,Gov Assistance Scheme - 152,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10915,85,Non-Binary,Texas,Urban,4179.31,Unemployed,Tertiary,7,Yes,22-09-25,13,Approved,2500,Central,All India,Housing,Direct Benefit Transfer,25000,23,66,200000,OBC,Non-Binary,School,Online+Offline,Gov Assistance Scheme - 623,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10086,44,Female,Texas,Urban,1259.42,Public Sector,Primary,3,Yes,28-05-25,14,Under Review,0,Central,All India,Education & Learning,Scholarship,36000,12,56,800000,General,Non-Binary,Diploma,Offline,Gov Assistance Scheme - 264,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11086,25,Non-Binary,California,Urban,2295.13,Self-Employed,Tertiary,1,No,05-04-25,89,Approved,0,State,California,Education & Learning,Subsidy,49000,11,66,800000,SC,Non-Binary,Diploma,Online+Offline,Gov Assistance Scheme - 481,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11064,24,Non-Binary,Illinois,Urban,24.33,Self-Employed,Secondary,5,No,29-01-25,96,Pending,0,State,Illinois,Education & Learning,Subsidy,45000,13,42,200000,Any,Male,UG,Online+Offline,Gov Assistance Scheme - 784,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11111,41,Male,Illinois,Urban,260.1,Unemployed,Primary,2,No,18-05-25,8,Rejected,1200,State,Illinois,Skill Development,Grant,82000,8,56,500000,SC,Any,Vocational,Offline,Gov Assistance Scheme - 225,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10214,46,Male,Illinois,Rural,937.71,Student,,8,Yes,21-07-25,82,Approved,500,Central,All India,Agriculture,Direct Benefit Transfer,75000,19,48,200000,General,Any,PhD,Offline,Gov Assistance Scheme - 424,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10336,46,Male,California,Rural,1198.35,Private Sector,Primary,3,No,11-08-25,23,Under Review,0,Central,All India,Social Welfare,Subsidy,91000,14,72,800000,ST,Male,Diploma,Online+Offline,Gov Assistance Scheme - 139,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10560,50,Non-Binary,New York,Urban,1976.87,Student,Primary,5,No,03-09-25,59,Approved,0,Central,All India,Housing,Subsidy,100000,23,72,500000,SC,Non-Binary,Diploma,Online+Offline,Gov Assistance Scheme - 293,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10766,65,Male,Texas,Urban,320.81,Student,Primary,7,Yes,13-09-25,76,Rejected,2500,Central,All India,Healthcare,Grant,74000,12,75,500000,General,Male,PhD,Online+Offline,Gov Assistance Scheme - 879,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10999,43,Male,California,Rural,95.19,Student,Secondary,6,No,14-09-25,86,Under Review,0,State,California,Education & Learning,Direct Benefit Transfer,29000,8,31,500000,SC,Non-Binary,School,Offline,Gov Assistance Scheme - 145,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10458,58,Male,California,Urban,1885.93,Self-Employed,Tertiary,6,Yes,08-03-25,29,Pending,1200,Central,All India,Social Welfare,Grant,37000,5,57,300000,Any,Any,Vocational,Offline,Gov Assistance Scheme - 685,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10034,51,Non-Binary,Florida,Rural,3545.65,Student,Secondary,7,No,07-11-25,23,Under Review,0,State,Florida,Skill Development,Stipend,35000,24,64,300000,SC,Any,UG,Online,Gov Assistance Scheme - 503,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11879,23,Female,Texas,Urban,3406.28,Self-Employed,Primary,4,No,25-02-25,75,Rejected,500,Central,All India,Agriculture,Subsidy,11000,23,31,300000,OBC,Any,Diploma,Offline,Gov Assistance Scheme - 787,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11230,24,Male,Texas,Urban,2055.93,Private Sector,Tertiary,3,No,29-04-25,20,Under Review,0,State,Texas,Social Welfare,Stipend,20000,20,33,300000,OBC,Male,School,Online,Gov Assistance Scheme - 256,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11671,77,Non-Binary,Illinois,Urban,4394.92,Self-Employed,,1,Yes,19-06-25,99,Rejected,1200,Central,All India,Housing,Grant,41000,4,66,800000,General,Male,Vocational,Offline,Gov Assistance Scheme - 415,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11956,27,Female,Texas,Rural,354.56,Public Sector,,3,Yes,01-04-25,100,Rejected,0,State,Texas,Housing,Direct Benefit Transfer,5000,0,75,200000,OBC,Any,School,Offline,Gov Assistance Scheme - 899,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11036,45,Male,Florida,Rural,1175.21,Private Sector,Tertiary,1,Yes,29-10-25,77,Rejected,0,State,Florida,Skill Development,Subsidy,28000,11,71,800000,Any,Female,PhD,Offline,Gov Assistance Scheme - 149,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11897,34,Non-Binary,Texas,Urban,1137.19,Private Sector,,1,No,29-07-25,88,Pending,0,Central,All India,Healthcare,Scholarship,98000,14,80,300000,SC,Non-Binary,Vocational,Online+Offline,Gov Assistance Scheme - 696,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11931,69,Female,California,Rural,141.84,Public Sector,Tertiary,7,Yes,12-03-25,13,Under Review,0,State,California,Social Welfare,Grant,16000,6,60,200000,SC,Male,Diploma,Offline,Gov Assistance Scheme - 929,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11344,51,Male,New York,Urban,3934.99,Public Sector,Primary,1,No,19-06-25,51,Rejected,2500,State,New York,Skill Development,Direct Benefit Transfer,90000,6,57,800000,General,Non-Binary,PhD,Offline,Gov Assistance Scheme - 487,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10296,18,Female,Florida,Urban,979.0,Public Sector,,5,No,22-01-25,19,Approved,0,Central,All India,Education & Learning,Grant,52000,0,46,800000,SC,Any,UG,Online+Offline,Gov Assistance Scheme - 185,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11234,47,Non-Binary,California,Rural,2699.38,Private Sector,,4,No,24-08-25,24,Pending,0,Central,All India,Housing,Grant,77000,0,52,800000,SC,Non-Binary,Vocational,Online+Offline,Gov Assistance Scheme - 615,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11291,34,Non-Binary,Texas,Urban,538.24,Student,Secondary,2,No,21-09-25,7,Rejected,1200,Central,All India,Social Welfare,Stipend,56000,24,74,500000,SC,Non-Binary,UG,Online,Gov Assistance Scheme - 153,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10809,34,Non-Binary,New York,Urban,1553.28,Student,,3,Yes,21-08-25,57,Under Review,0,State,New York,Social Welfare,Direct Benefit Transfer,73000,5,67,500000,Any,Male,UG,Online+Offline,Gov Assistance Scheme - 878,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10853,43,Male,Florida,Urban,3306.89,Private Sector,Secondary,8,No,12-10-25,93,Rejected,1200,Central,All India,Social Welfare,Stipend,24000,18,71,300000,Any,Male,Vocational,Offline,Gov Assistance Scheme - 666,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10825,56,Male,California,Urban,3989.7,Student,Primary,8,No,26-05-25,26,Pending,2500,Central,All India,Skill Development,Grant,88000,23,55,800000,OBC,Male,Higher Secondary,Offline,Gov Assistance Scheme - 402,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11168,71,Male,Florida,Rural,4531.73,Student,Secondary,5,No,21-01-25,78,Under Review,0,State,Florida,Skill Development,Subsidy,6000,16,35,200000,EWS,Female,School,Online,Gov Assistance Scheme - 143,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10608,49,Male,Illinois,Urban,1972.05,Private Sector,Secondary,1,Yes,27-07-25,25,Pending,0,Central,All India,Social Welfare,Subsidy,23000,17,59,200000,ST,Male,Higher Secondary,Online+Offline,Gov Assistance Scheme - 860,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10670,28,Male,New York,Rural,140.99,Self-Employed,,3,Yes,24-10-25,97,Pending,0,Central,All India,Healthcare,Subsidy,36000,12,43,200000,OBC,Any,UG,Offline,Gov Assistance Scheme - 981,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10752,21,Non-Binary,New York,Urban,3001.15,Private Sector,Secondary,4,Yes,06-12-25,58,Approved,0,Central,All India,Education & Learning,Scholarship,100000,7,58,500000,SC,Any,Vocational,Offline,Gov Assistance Scheme - 149,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11612,24,Non-Binary,California,Urban,2207.23,Self-Employed,Primary,8,No,12-06-25,95,Approved,1200,State,California,Social Welfare,Scholarship,37000,14,41,800000,ST,Male,School,Online+Offline,Gov Assistance Scheme - 215,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10827,32,Non-Binary,Texas,Rural,4697.06,Self-Employed,Tertiary,5,No,08-03-25,61,Approved,0,State,Texas,Healthcare,Subsidy,14000,7,75,200000,OBC,Female,UG,Offline,Gov Assistance Scheme - 820,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11887,78,Male,Illinois,Urban,4249.83,Unemployed,Tertiary,2,No,25-02-25,54,Under Review,1200,State,Illinois,Education & Learning,Stipend,35000,4,56,500000,EWS,Non-Binary,Vocational,Online+Offline,Gov Assistance Scheme - 551,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10950,46,Female,California,Urban,4855.47,Self-Employed,Secondary,7,No,13-09-25,6,Under Review,0,State,California,Social Welfare,Direct Benefit Transfer,29000,7,37,500000,OBC,Any,UG,Online,Gov Assistance Scheme - 779,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10287,49,Non-Binary,California,Urban,3137.99,Public Sector,,6,Yes,12-05-25,77,Under Review,0,Central,All India,Housing,Grant,65000,11,74,200000,OBC,Non-Binary,PG,Online+Offline,Gov Assistance Scheme - 701,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10849,56,Non-Binary,Florida,Rural,4186.74,Student,Secondary,4,No,26-07-25,83,Rejected,2500,Central,All India,Social Welfare,Stipend,40000,4,66,300000,OBC,Female,PG,Offline,Gov Assistance Scheme - 937,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11050,38,Male,Texas,Rural,3977.45,Private Sector,Tertiary,1,Yes,10-09-25,52,Rejected,500,State,Texas,Education & Learning,Subsidy,87000,25,52,800000,SC,Male,Diploma,Offline,Gov Assistance Scheme - 213,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10462,64,Male,New York,Urban,4408.44,Self-Employed,Secondary,7,Yes,04-10-25,70,Pending,0,State,New York,Agriculture,Subsidy,41000,13,48,500000,SC,Male,School,Online+Offline,Gov Assistance Scheme - 176,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11577,24,Male,California,Rural,1984.51,Public Sector,Secondary,7,No,02-07-25,57,Under Review,0,State,California,Education & Learning,Stipend,44000,15,32,200000,SC,Male,Vocational,Online+Offline,Gov Assistance Scheme - 209,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10858,67,Non-Binary,California,Urban,2611.85,Student,Tertiary,4,Yes,11-08-25,15,Approved,1200,State,California,Education & Learning,Scholarship,28000,21,57,300000,ST,Male,Vocational,Offline,Gov Assistance Scheme - 297,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10945,21,Non-Binary,Texas,Urban,4454.55,Student,Tertiary,5,Yes,22-04-25,2,Rejected,0,State,Texas,Healthcare,Direct Benefit Transfer,71000,19,32,200000,General,Non-Binary,PhD,Online,Gov Assistance Scheme - 310,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10764,61,Non-Binary,California,Urban,4732.88,Self-Employed,Primary,7,No,08-03-25,95,Under Review,0,State,California,Housing,Direct Benefit Transfer,82000,14,58,200000,SC,Female,Higher Secondary,Offline,Gov Assistance Scheme - 112,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11225,27,Female,Illinois,Rural,1320.79,Private Sector,Secondary,7,No,29-03-25,74,Pending,1200,State,Illinois,Housing,Grant,93000,11,32,200000,OBC,Non-Binary,UG,Online,Gov Assistance Scheme - 759,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
